orderid,orderdate,customer,product,units,billingaddress,remarks
2115,12/27/2018,354,441,45,Hyderabad,Appreciated
2116,12/11/2018,577,468,46,Mysore,Dont ever dream of buying this item
2117,3/25/2019,272,900,81,Bangalore,Wonderful Product
2118,10/12/2018,687,602,36,Mysore,Strongly Recommend to Everyone to Buy this Product
2119,6/13/2019,59,369,13,Mumbai,Pathetic Items Received
2120,10/9/2018,301,299,21,Kolkata,Awful Items
2121,11/15/2018,177,913,12,Bangalore,Strongly Recommend to Everyone to Buy this Product
2122,9/7/2019,403,110,47,Chennai,Strongly Recommend to Everyone to Buy this Product
2123,6/7/2019,342,141,29,Hyderabad,Pathetic Items Received
2124,6/24/2019,298,245,10,Trivandrum,Wonderful Product
2125,9/28/2018,3,511,40,Hyderabad,Dont ever dream of buying this item
2126,8/29/2019,518,839,47,Bangalore,Pathetic Items Received
2127,11/10/2018,731,422,95,Kolkata,Strongly Recommend to Everyone to Buy this Product
2128,6/7/2019,685,285,23,Hyderabad,Dont ever dream of buying this item
2129,11/6/2018,242,185,38,Mysore,Appreciated
2130,11/23/2018,369,321,79,Trivandrum,Awful Items
2131,11/19/2018,851,333,75,Chennai,Strongly Recommend to Everyone to Buy this Product
2132,1/19/2019,475,911,54,Mysore,Wonderful Product
2133,8/29/2019,532,724,82,Mysore,Wonderful Product
2134,7/30/2019,185,73,32,Kolkata,Awful Items
2135,4/1/2019,42,908,36,Mumbai,Pathetic Items Received
2136,9/12/2018,899,703,37,Kolkata,Strongly Recommend to Everyone to Buy this Product
2137,10/18/2018,585,414,89,Chennai,Strongly Recommend to Everyone to Buy this Product
2138,9/30/2018,440,992,81,Mumbai,Dont ever dream of buying this item
2139,2/5/2019,542,853,43,Trivandrum,Strongly Recommend to Everyone to Buy this Product
2140,9/11/2018,978,436,60,Chennai,Appreciated
2141,10/27/2018,6,692,12,Bangalore,Pathetic Items Received
2142,4/3/2019,893,574,21,New Delhi,Dont ever dream of buying this item
2143,6/4/2019,973,907,59,Trivandrum,Strongly Recommend to Everyone to Buy this Product
2144,10/3/2018,830,111,53,Bangalore,Awful Items
2145,7/2/2019,638,867,83,Hyderabad,Appreciated
2146,8/20/2019,178,974,64,Trivandrum,Awful Items
2147,6/11/2019,376,641,100,Bangalore,Pathetic Items Received
2148,2/11/2019,840,656,62,Bangalore,Wonderful Product
2149,8/10/2019,201,931,95,Trivandrum,Wonderful Product
2150,9/5/2019,503,941,53,Chennai,Pathetic Items Received
2151,11/17/2018,158,727,71,New Delhi,Dont ever dream of buying this item
2152,5/31/2019,33,605,86,New Delhi,Pathetic Items Received
2153,10/3/2018,885,554,88,Trivandrum,Dont ever dream of buying this item
2154,12/21/2018,36,7,82,Trivandrum,Pathetic Items Received
2155,6/14/2019,188,617,60,Mysore,Dont ever dream of buying this item
2156,11/19/2018,895,570,43,Mysore,Dont ever dream of buying this item
2157,11/15/2018,608,178,65,Mysore,Pathetic Items Received
2158,1/19/2019,380,287,92,Mumbai,Awful Items
2159,6/5/2019,217,55,11,Mysore,Dont ever dream of buying this item
2160,10/5/2018,107,737,46,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2161,11/6/2018,220,150,75,Bangalore,Dont ever dream of buying this item
2162,6/12/2019,570,71,36,Hyderabad,Awful Items
2163,7/16/2019,385,260,66,Trivandrum,Awful Items
2164,1/22/2019,590,646,97,Mysore,Pathetic Items Received
2165,5/24/2019,694,861,26,Kolkata,Wonderful Product
2166,5/12/2019,152,526,15,Hyderabad,Appreciated
2167,7/9/2019,514,839,72,Bangalore,Awful Items
2168,2/26/2019,261,505,78,Trivandrum,Appreciated
2169,4/14/2019,315,655,28,Mysore,Awful Items
2170,10/27/2018,499,253,94,Mysore,Wonderful Product
2171,9/25/2018,36,700,39,Kolkata,Appreciated
2172,3/6/2019,831,405,60,Mysore,Strongly Recommend to Everyone to Buy this Product
2173,1/11/2019,767,90,61,Hyderabad,Awful Items
2174,7/2/2019,940,576,84,Mumbai,Wonderful Product
2175,4/30/2019,655,977,35,Mumbai,Wonderful Product
2176,7/31/2019,454,28,47,Mysore,Pathetic Items Received
2177,4/16/2019,753,742,17,Chennai,Awful Items
2178,7/17/2019,521,404,67,New Delhi,Awful Items
2179,8/13/2019,973,190,17,New Delhi,Awful Items
2180,1/16/2019,4,541,63,Bangalore,Wonderful Product
2181,2/22/2019,466,199,58,New Delhi,Dont ever dream of buying this item
2182,5/3/2019,898,42,59,New Delhi,Awful Items
2183,1/1/2019,896,374,58,Mumbai,Awful Items
2184,1/5/2019,661,954,10,Bangalore,Appreciated
2185,8/4/2019,273,862,72,Hyderabad,Wonderful Product
2186,5/25/2019,502,92,48,Mumbai,Awful Items
2187,7/10/2019,106,359,20,Hyderabad,Dont ever dream of buying this item
2188,1/25/2019,424,909,83,Bangalore,Strongly Recommend to Everyone to Buy this Product
2189,8/4/2019,576,751,15,New Delhi,Strongly Recommend to Everyone to Buy this Product
2190,12/19/2018,212,420,96,Chennai,Pathetic Items Received
2191,9/10/2018,630,781,79,New Delhi,Pathetic Items Received
2192,4/21/2019,406,437,79,Kolkata,Pathetic Items Received
2193,9/29/2018,31,812,41,Kolkata,Wonderful Product
2194,12/13/2018,404,47,34,Kolkata,Pathetic Items Received
2195,10/21/2018,629,296,59,Mysore,Appreciated
2196,9/10/2018,241,667,22,Chennai,Dont ever dream of buying this item
2197,4/30/2019,817,893,32,Mysore,Strongly Recommend to Everyone to Buy this Product
2198,7/15/2019,706,788,61,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2199,12/5/2018,990,357,76,Chennai,Appreciated
2200,6/5/2019,860,157,93,Trivandrum,Wonderful Product
2201,7/24/2019,350,969,41,Mumbai,Wonderful Product
2202,1/5/2019,310,782,11,Bangalore,Appreciated
2203,1/27/2019,625,645,63,Mysore,Pathetic Items Received
2204,8/5/2019,115,632,90,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2205,7/16/2019,602,299,15,New Delhi,Strongly Recommend to Everyone to Buy this Product
2206,6/6/2019,691,744,15,Bangalore,Dont ever dream of buying this item
2207,2/8/2019,15,210,83,Chennai,Awful Items
2208,10/6/2018,404,634,99,Kolkata,Strongly Recommend to Everyone to Buy this Product
2209,6/30/2019,474,52,19,Kolkata,Strongly Recommend to Everyone to Buy this Product
2210,9/11/2018,154,481,55,Trivandrum,Awful Items
2211,5/29/2019,225,204,97,Chennai,Wonderful Product
2212,8/6/2019,984,533,72,Hyderabad,Wonderful Product
2213,12/2/2018,406,513,85,Trivandrum,Dont ever dream of buying this item
2214,8/6/2019,914,888,90,Mysore,Appreciated
2215,7/24/2019,100,586,24,Kolkata,Wonderful Product
2216,5/7/2019,757,414,32,Mumbai,Pathetic Items Received
2217,2/2/2019,714,812,78,New Delhi,Dont ever dream of buying this item
2218,5/14/2019,901,618,78,Hyderabad,Dont ever dream of buying this item
2219,2/25/2019,414,580,99,Kolkata,Wonderful Product
2220,3/17/2019,177,894,76,Trivandrum,Pathetic Items Received
2221,9/7/2019,480,469,83,Kolkata,Wonderful Product
2222,1/23/2019,997,220,60,New Delhi,Wonderful Product
2223,3/9/2019,778,638,60,New Delhi,Dont ever dream of buying this item
2224,8/30/2019,697,994,25,Bangalore,Awful Items
2225,6/5/2019,421,281,55,Chennai,Appreciated
2226,7/25/2019,338,483,46,New Delhi,Wonderful Product
2227,5/27/2019,577,197,21,New Delhi,Dont ever dream of buying this item
2228,7/19/2019,824,928,35,Hyderabad,Wonderful Product
2229,1/1/2019,819,690,93,Bangalore,Wonderful Product
2230,2/14/2019,907,85,43,New Delhi,Appreciated
2231,2/12/2019,682,35,89,Bangalore,Pathetic Items Received
2232,8/25/2019,523,722,39,Trivandrum,Pathetic Items Received
2233,9/20/2018,188,795,54,Hyderabad,Pathetic Items Received
2234,4/9/2019,543,892,82,Chennai,Pathetic Items Received
2235,9/25/2018,92,565,38,Kolkata,Appreciated
2236,6/20/2019,175,41,82,Bangalore,Awful Items
2237,8/1/2019,175,199,32,New Delhi,Appreciated
2238,1/24/2019,88,128,28,Bangalore,Appreciated
2239,5/1/2019,614,647,54,Kolkata,Strongly Recommend to Everyone to Buy this Product
2240,11/9/2018,876,740,13,Mumbai,Appreciated
2241,5/3/2019,559,563,100,Mumbai,Awful Items
2242,4/13/2019,520,686,92,Trivandrum,Awful Items
2243,8/13/2019,951,895,15,Hyderabad,Awful Items
2244,10/15/2018,483,639,41,Mysore,Dont ever dream of buying this item
2245,3/2/2019,525,711,96,Kolkata,Strongly Recommend to Everyone to Buy this Product
2246,1/15/2019,601,606,79,Hyderabad,Pathetic Items Received
2247,11/25/2018,441,664,48,Mysore,Awful Items
2248,8/28/2019,737,838,53,Trivandrum,Appreciated
2249,3/13/2019,568,91,53,New Delhi,Strongly Recommend to Everyone to Buy this Product
2250,3/17/2019,924,405,75,Mumbai,Awful Items
2251,9/8/2019,982,978,77,Trivandrum,Wonderful Product
2252,1/8/2019,881,678,81,Chennai,Wonderful Product
2253,6/22/2019,222,495,41,Hyderabad,Pathetic Items Received
2254,4/1/2019,622,560,56,Hyderabad,Pathetic Items Received
2255,1/19/2019,511,795,22,Trivandrum,Dont ever dream of buying this item
2256,7/20/2019,127,373,74,Mysore,Strongly Recommend to Everyone to Buy this Product
2257,3/12/2019,778,618,54,Mysore,Dont ever dream of buying this item
2258,12/12/2018,520,956,56,Chennai,Awful Items
2259,10/16/2018,71,137,75,Chennai,Awful Items
2260,6/9/2019,748,251,99,Kolkata,Strongly Recommend to Everyone to Buy this Product
2261,9/2/2019,301,731,71,Hyderabad,Appreciated
2262,6/10/2019,498,365,10,Mysore,Pathetic Items Received
2263,7/5/2019,543,753,20,Trivandrum,Wonderful Product
2264,7/4/2019,989,53,52,Kolkata,Strongly Recommend to Everyone to Buy this Product
2265,1/1/2019,632,520,23,Mumbai,Wonderful Product
2266,6/10/2019,289,102,48,Bangalore,Pathetic Items Received
2267,5/14/2019,515,120,53,New Delhi,Dont ever dream of buying this item
2268,3/15/2019,583,839,93,Trivandrum,Awful Items
2269,12/6/2018,421,567,47,Kolkata,Awful Items
2270,1/27/2019,513,482,48,Chennai,Pathetic Items Received
2271,12/13/2018,163,35,74,Mysore,Wonderful Product
2272,7/27/2019,3,556,54,Mumbai,Strongly Recommend to Everyone to Buy this Product
2273,11/29/2018,876,490,11,Trivandrum,Strongly Recommend to Everyone to Buy this Product
2274,1/17/2019,1,9,50,Bangalore,Awful Items
2275,11/30/2018,279,280,77,Hyderabad,Pathetic Items Received
2276,5/3/2019,158,519,43,Hyderabad,Appreciated
2277,6/1/2019,190,300,27,Mysore,Dont ever dream of buying this item
2278,9/10/2018,966,283,38,New Delhi,Appreciated
2279,7/7/2019,889,395,87,Mysore,Strongly Recommend to Everyone to Buy this Product
2280,8/10/2019,502,248,19,Chennai,Pathetic Items Received
2281,2/6/2019,36,740,88,Kolkata,Strongly Recommend to Everyone to Buy this Product
2282,10/19/2018,314,470,43,Kolkata,Strongly Recommend to Everyone to Buy this Product
2283,3/17/2019,495,423,78,Hyderabad,Appreciated
2284,6/19/2019,217,418,86,Bangalore,Pathetic Items Received
2285,9/27/2018,623,853,12,Trivandrum,Awful Items
2286,1/25/2019,862,10,88,Chennai,Strongly Recommend to Everyone to Buy this Product
2287,5/20/2019,217,273,72,Chennai,Appreciated
2288,9/21/2018,105,881,88,New Delhi,Wonderful Product
2289,12/31/2018,519,698,20,Trivandrum,Wonderful Product
2290,12/14/2018,604,974,38,Mysore,Wonderful Product
2291,6/11/2019,793,770,89,Mumbai,Pathetic Items Received
2292,7/3/2019,95,163,62,New Delhi,Pathetic Items Received
2293,6/3/2019,317,5,23,Hyderabad,Awful Items
2294,1/26/2019,510,126,22,Chennai,Wonderful Product
2295,9/2/2019,131,244,44,Bangalore,Strongly Recommend to Everyone to Buy this Product
2296,8/22/2019,572,349,28,Bangalore,Strongly Recommend to Everyone to Buy this Product
2297,3/10/2019,118,667,14,Mysore,Appreciated
2298,7/3/2019,799,364,36,Mumbai,Dont ever dream of buying this item
2299,6/23/2019,489,248,91,Mumbai,Awful Items
2300,12/6/2018,216,881,46,New Delhi,Appreciated
2301,6/26/2019,311,656,31,Trivandrum,Dont ever dream of buying this item
2302,12/23/2018,184,367,28,Mysore,Strongly Recommend to Everyone to Buy this Product
2303,6/10/2019,550,27,67,Mysore,Dont ever dream of buying this item
2304,2/12/2019,402,947,86,Kolkata,Dont ever dream of buying this item
2305,2/21/2019,248,42,92,Bangalore,Dont ever dream of buying this item
2306,8/30/2019,725,886,26,Chennai,Awful Items
2307,12/2/2018,650,69,25,Kolkata,Strongly Recommend to Everyone to Buy this Product
2308,11/6/2018,512,755,11,Hyderabad,Dont ever dream of buying this item
2309,10/7/2018,858,141,45,Hyderabad,Wonderful Product
2310,6/6/2019,538,385,27,New Delhi,Dont ever dream of buying this item
2311,1/25/2019,570,203,10,Kolkata,Awful Items
2312,10/3/2018,976,508,64,Kolkata,Strongly Recommend to Everyone to Buy this Product
2313,6/16/2019,558,896,95,Hyderabad,Pathetic Items Received
2314,7/17/2019,332,229,41,Trivandrum,Pathetic Items Received
2315,5/26/2019,501,167,74,Mumbai,Appreciated
2316,3/21/2019,912,964,42,Hyderabad,Pathetic Items Received
2317,5/26/2019,886,609,56,Mysore,Wonderful Product
2318,6/6/2019,676,185,12,Mysore,Pathetic Items Received
2319,2/24/2019,252,571,27,New Delhi,Strongly Recommend to Everyone to Buy this Product
2320,2/21/2019,668,266,59,Mumbai,Pathetic Items Received
2321,3/6/2019,139,696,34,Mysore,Wonderful Product
2322,7/7/2019,907,274,89,Mumbai,Awful Items
2323,2/27/2019,949,612,46,Mysore,Appreciated
2324,3/4/2019,584,153,88,Mysore,Wonderful Product
2325,11/28/2018,823,764,72,Kolkata,Strongly Recommend to Everyone to Buy this Product
2326,10/27/2018,547,243,93,Mysore,Awful Items
2327,5/11/2019,195,19,90,Trivandrum,Pathetic Items Received
2328,8/14/2019,761,2,41,Chennai,Wonderful Product
2329,10/26/2018,91,784,62,Mysore,Pathetic Items Received
2330,3/27/2019,379,819,79,New Delhi,Appreciated
2331,3/26/2019,787,685,78,New Delhi,Strongly Recommend to Everyone to Buy this Product
2332,2/28/2019,664,145,24,New Delhi,Dont ever dream of buying this item
2333,11/20/2018,74,840,29,Mumbai,Dont ever dream of buying this item
2334,5/29/2019,258,790,39,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2335,3/21/2019,851,989,64,New Delhi,Strongly Recommend to Everyone to Buy this Product
2336,12/30/2018,7,68,42,Hyderabad,Wonderful Product
2337,12/30/2018,963,760,68,Chennai,Appreciated
2338,12/8/2018,245,49,43,Trivandrum,Strongly Recommend to Everyone to Buy this Product
2339,2/7/2019,609,354,63,Mysore,Wonderful Product
2340,3/25/2019,161,981,28,Mysore,Strongly Recommend to Everyone to Buy this Product
2341,2/14/2019,123,462,27,Kolkata,Pathetic Items Received
2342,7/10/2019,745,788,84,Mumbai,Dont ever dream of buying this item
2343,12/9/2018,443,698,29,Trivandrum,Appreciated
2344,7/24/2019,386,342,98,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2345,6/6/2019,92,446,79,Trivandrum,Strongly Recommend to Everyone to Buy this Product
2346,3/13/2019,388,405,94,Trivandrum,Dont ever dream of buying this item
2347,10/1/2018,914,485,63,Trivandrum,Appreciated
2348,3/11/2019,615,567,82,Kolkata,Wonderful Product
2349,3/11/2019,969,879,45,Kolkata,Awful Items
2350,9/11/2018,858,853,44,Mumbai,Wonderful Product
2351,12/20/2018,878,130,31,Mysore,Awful Items
2352,8/3/2019,819,469,10,Mumbai,Pathetic Items Received
2353,9/4/2019,889,851,60,Trivandrum,Appreciated
2354,10/4/2018,572,215,34,Kolkata,Appreciated
2355,8/10/2019,744,403,32,Hyderabad,Dont ever dream of buying this item
2356,2/18/2019,785,252,98,Chennai,Wonderful Product
2357,10/23/2018,894,924,82,Chennai,Dont ever dream of buying this item
2358,2/4/2019,490,956,75,Mysore,Strongly Recommend to Everyone to Buy this Product
2359,2/22/2019,116,353,49,Mumbai,Strongly Recommend to Everyone to Buy this Product
2360,9/10/2018,806,959,85,Bangalore,Wonderful Product
2361,6/26/2019,390,786,57,Mumbai,Wonderful Product
2362,1/23/2019,949,947,31,Kolkata,Dont ever dream of buying this item
2363,9/17/2018,141,935,10,Chennai,Appreciated
2364,11/8/2018,805,538,87,Bangalore,Dont ever dream of buying this item
2365,3/5/2019,709,684,41,Bangalore,Dont ever dream of buying this item
2366,6/20/2019,44,794,100,Chennai,Pathetic Items Received
2367,1/26/2019,517,695,95,Kolkata,Wonderful Product
2368,12/6/2018,213,507,23,New Delhi,Strongly Recommend to Everyone to Buy this Product
2369,10/19/2018,362,677,58,Mysore,Wonderful Product
2370,11/24/2018,945,452,89,Mumbai,Dont ever dream of buying this item
2371,9/8/2019,15,844,27,Bangalore,Awful Items
2372,9/15/2018,709,395,83,Chennai,Awful Items
2373,6/8/2019,607,903,68,Bangalore,Dont ever dream of buying this item
2374,10/31/2018,836,233,84,Kolkata,Pathetic Items Received
2375,6/13/2019,421,931,65,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2376,8/29/2019,948,209,78,Trivandrum,Wonderful Product
2377,12/12/2018,642,403,31,New Delhi,Strongly Recommend to Everyone to Buy this Product
2378,1/24/2019,89,87,85,Mysore,Appreciated
2379,12/25/2018,212,97,37,Kolkata,Dont ever dream of buying this item
2380,9/7/2019,356,367,60,Kolkata,Awful Items
2381,12/13/2018,695,630,82,Kolkata,Dont ever dream of buying this item
2382,10/27/2018,187,270,29,Mumbai,Pathetic Items Received
2383,10/31/2018,710,385,23,Trivandrum,Appreciated
2384,6/3/2019,398,11,61,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2385,8/7/2019,291,238,40,Trivandrum,Dont ever dream of buying this item
2386,2/19/2019,723,714,11,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2387,2/7/2019,828,441,77,Mysore,Awful Items
2388,7/5/2019,514,394,25,Chennai,Pathetic Items Received
2389,9/14/2018,274,587,96,Hyderabad,Pathetic Items Received
2390,11/5/2018,409,818,62,Chennai,Appreciated
2391,10/19/2018,438,8,20,Bangalore,Awful Items
2392,2/9/2019,668,622,55,Kolkata,Strongly Recommend to Everyone to Buy this Product
2393,9/14/2018,993,896,11,New Delhi,Awful Items
2394,10/16/2018,664,556,42,Trivandrum,Dont ever dream of buying this item
2395,10/2/2018,388,979,67,Mysore,Pathetic Items Received
2396,2/4/2019,150,141,60,Hyderabad,Wonderful Product
2397,5/26/2019,964,258,86,Chennai,Strongly Recommend to Everyone to Buy this Product
2398,4/10/2019,460,634,28,New Delhi,Pathetic Items Received
2399,4/19/2019,66,528,43,Bangalore,Pathetic Items Received
2400,11/23/2018,131,571,94,Mysore,Wonderful Product
2401,12/27/2018,715,836,39,Hyderabad,Appreciated
2402,12/17/2018,432,275,89,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2403,6/9/2019,628,397,11,Chennai,Strongly Recommend to Everyone to Buy this Product
2404,5/3/2019,165,436,84,Hyderabad,Pathetic Items Received
2405,5/3/2019,976,711,43,Hyderabad,Dont ever dream of buying this item
2406,9/14/2018,823,520,25,Kolkata,Dont ever dream of buying this item
2407,2/10/2019,150,998,33,Mumbai,Pathetic Items Received
2408,2/12/2019,942,965,42,Chennai,Appreciated
2409,11/23/2018,377,689,71,Trivandrum,Wonderful Product
2410,5/6/2019,373,705,54,Hyderabad,Wonderful Product
2411,8/3/2019,900,279,12,Kolkata,Pathetic Items Received
2412,11/2/2018,171,724,33,Hyderabad,Pathetic Items Received
2413,7/10/2019,591,534,61,New Delhi,Pathetic Items Received
2414,2/24/2019,472,557,37,Bangalore,Dont ever dream of buying this item
2415,8/27/2019,991,910,98,Mumbai,Strongly Recommend to Everyone to Buy this Product
2416,1/18/2019,232,898,53,Mumbai,Awful Items
2417,10/23/2018,248,371,15,Bangalore,Appreciated
2418,6/12/2019,945,314,16,Trivandrum,Appreciated
2419,12/18/2018,671,322,14,Chennai,Awful Items
2420,6/18/2019,923,682,95,Trivandrum,Wonderful Product
2421,2/3/2019,111,950,51,Mumbai,Strongly Recommend to Everyone to Buy this Product
